Feature,Gini,IV,Splits
EXT_SOURCE_MEAN,0.430049699544933,0.6234096842332096,"(-inf, 0.26) | [0.26, 0.33) | [0.33, 0.39) | [0.39, 0.43) | [0.43, 0.47) | [0.47, 0.52) | [0.52, 0.57) | [0.57, 0.64) | [0.64, 0.68) | [0.68, inf) | Special | Missing"
EXT_SOURCE_MIN,0.37854236969014243,0.4743339869904134,"(-inf, 0.13) | [0.13, 0.18) | [0.18, 0.25) | [0.25, 0.33) | [0.33, 0.41) | [0.41, 0.49) | [0.49, 0.56) | [0.56, 0.60) | [0.60, 0.66) | [0.66, inf) | Special | Missing"
EXT_SOURCE_MAX,0.369037095942228,0.4518130430357021,"(-inf, 0.34) | [0.34, 0.43) | [0.43, 0.49) | [0.49, 0.57) | [0.57, 0.62) | [0.62, 0.65) | [0.65, 0.70) | [0.70, 0.73) | [0.73, 0.80) | [0.80, inf) | Special | Missing"
EXT_SOURCE_3,0.3151652850740221,0.3352282066873093,"(-inf, 0.18) | [0.18, 0.32) | [0.32, 0.41) | [0.41, 0.46) | [0.46, 0.50) | [0.50, 0.57) | [0.57, 0.64) | [0.64, 0.70) | [0.70, 0.77) | [0.77, inf) | Special | Missing"
EXT_SOURCE_2,0.30970425104667254,0.32069937732500237,"(-inf, 0.14) | [0.14, 0.26) | [0.26, 0.41) | [0.41, 0.49) | [0.49, 0.55) | [0.55, 0.62) | [0.62, 0.66) | [0.66, 0.70) | [0.70, 0.73) | [0.73, inf) | Special | Missing"
BUREAU_DEBT_CREDIT_RATIO,0.17788481733197292,0.10393670422353175,"(-inf, 0.02) | [0.02, 0.16) | [0.16, 0.23) | [0.23, 0.33) | [0.33, 0.43) | [0.43, 0.53) | [0.53, 0.66) | [0.66, 0.79) | [0.79, inf) | Special | Missing"
DAYS_BIRTH,0.16558697109006815,0.08692848339829959,"(-inf, -23196.50) | [-23196.50, -19865.50) | [-19865.50, -18796.50) | [-18796.50, -17367.50) | [-17367.50, -15327.50) | [-15327.50, -14017.50) | [-14017.50, -13366.50) | [-13366.50, -11678.50) | [-11678.50, -9414.50) | [-9414.50, inf) | Special | Missing"
AGE,0.16558697109006815,0.08692848339829959,"(-inf, 25.79) | [25.79, 32.00) | [32.00, 36.62) | [36.62, 38.40) | [38.40, 41.99) | [41.99, 47.58) | [47.58, 51.50) | [51.50, 54.43) | [54.43, 63.55) | [63.55, inf) | Special | Missing"
EMPLOY_YEARS,0.16489041752324418,0.11405379021938744,"(-inf, 1.55) | [1.55, 2.69) | [2.69, 3.85) | [3.85, 4.90) | [4.90, 6.71) | [6.71, 8.43) | [8.43, 10.75) | [10.75, 14.91) | [14.91, inf) | Special | Missing"
DAYS_EMPLOYED,0.16489041752324418,0.11405379021938744,"(-inf, -5443.50) | [-5443.50, -3923.50) | [-3923.50, -3075.50) | [-3075.50, -2447.50) | [-2447.50, -1789.50) | [-1789.50, -1404.50) | [-1404.50, -982.50) | [-982.50, -566.50) | [-566.50, inf) | Special | Missing"
