feature,iv,group
EXT_SOURCE_3,0.3352282066873093,0.30-0.50
EXT_SOURCE_2,0.32069937732500237,0.30-0.50
EMPLOY_YEARS,0.11405379021938744,0.10-0.30
BUREAU_DEBT_CREDIT_RATIO,0.10393670422353175,0.10-0.30
AMT_GOODS_PRICE,0.09203682939340666,0.02-0.10
AGE,0.08692848339829959,0.02-0.10
BUREAU_DAYS_CREDIT_MAX,0.08298289759476091,0.02-0.10
BUREAU_DAYS_CREDIT_MIN,0.07967791766054252,0.02-0.10
GOODS_CREDIT_RATIO,0.07606256054528113,0.02-0.10
PREV_CREDIT_APPLICATION_RATIO_MEAN,0.07243667209702233,0.02-0.10
PREV_REFUSAL_RATE,0.06986859779042852,0.02-0.10
PREV_APPROVAL_RATE,0.06440695360330431,0.02-0.10
INST_PCT_LATE,0.06362736099401496,0.02-0.10
AMT_CREDIT,0.05936769323366025,0.02-0.10
ORGANIZATION_TYPE_GROUPED,0.058195609634679166,0.02-0.10
NAME_INCOME_TYPE,0.05786932470655602,0.02-0.10
INST_PAYMENT_RATIO_MEAN,0.05419532916953983,0.02-0.10
REGION_RATING_CLIENT_W_CITY,0.05120149755009072,0.02-0.10
NAME_EDUCATION_TYPE,0.04965360274139637,0.02-0.10
LAST_PHONE_CHANGE_YEARS,0.047854682813308166,0.02-0.10
BUREAU_DAYS_CREDIT_UPDATE_MAX,0.04780777990904064,0.02-0.10
PREV_DAYS_DECISION_MIN,0.04453881353158491,0.02-0.10
DAYS_ID_PUBLISH,0.04025319853612208,0.02-0.10
EXT_SOURCE_STD,0.0373415831426813,0.02-0.10
REGION_POPULATION_RELATIVE,0.03564908843629902,0.02-0.10
ORGANIZATION_TYPE_FREQ,0.0349296046440403,0.02-0.10
POS_PAID_LAST_2M_SUM,0.032367092469191415,0.02-0.10
REG_CITY_NOT_WORK_CITY,0.03220724394929676,0.02-0.10
HOUSING_TOTALAREA,0.031676005913424454,0.02-0.10
AMT_ANNUITY,0.031179322585245146,0.02-0.10
POS_PAID_LAST_1M_SUM,0.030094483978131727,0.02-0.10
POS_PAID_LAST_2M_MEAN,0.029853294493340825,0.02-0.10
HOUSING_YEARS_BEGINEXPLUATATION,0.02921610593565859,0.02-0.10
CREDIT_TERM,0.028996458367239325,0.02-0.10
REGISTRATION_YEARS,0.028486966521123765,0.02-0.10
HOUSING_FLOORSMAX,0.02837284753256877,0.02-0.10
INST_N_PAYMENTS_90D,0.02808200763116429,0.02-0.10
POS_PAID_LAST_1M_MEAN,0.027210678092136356,0.02-0.10
BUREAU_CREDIT_SUM_MEAN,0.02569839111859311,0.02-0.10
PREV_CNT_PAYMENT_MEAN,0.025618164255841205,0.02-0.10
BUREAU_N_ACTIVE,0.025489579134523616,0.02-0.10
POS_N_LOANS,0.023262464437646024,0.02-0.10
POS_PAID_LAST_6M_SUM,0.022315551705527997,0.02-0.10
REG_CITY_NOT_LIVE_CITY,0.022298689071670597,0.02-0.10
HOUSING_LANDAREA,0.022276316469794794,0.02-0.10
HOUSING_YEARS_BUILD,0.02177367196508046,0.02-0.10
NAME_FAMILY_STATUS,0.021702402976662368,0.02-0.10
HOUSING_BASEMENTAREA,0.021413704436934456,0.02-0.10
CC_DRAWINGS_ATM_SUM,0.020165082310876103,0.02-0.10
POS_DPD_MEAN,0.019478261627375787,0.01-0.02
PREV_AMT_APPLICATION_MEAN,0.01874297581671182,0.01-0.02
INST_DAYS_ENTRY_PAYMENT_MAX,0.018662969372311426,0.01-0.02
AMT_REQ_CREDIT_BUREAU_YEAR,0.01809285362060217,0.01-0.02
HOUSING_ENTRANCES,0.01750364092557253,0.01-0.02
POS_PAID_LAST_6M_MEAN,0.01747513699938321,0.01-0.02
AMT_REQ_CREDIT_BUREAU_QRT,0.016871074865689173,0.01-0.02
INST_N_PAYMENTS_30D,0.01682854471042272,0.01-0.02
POS_INSTALMENT_FUTURE_TREND_MEAN,0.015961722482712302,0.01-0.02
NAME_HOUSING_TYPE,0.01505519009759078,0.01-0.02
NAME_CONTRACT_TYPE,0.015038765990569906,0.01-0.02
INST_N_PAYMENTS_365D,0.014976187836923395,0.01-0.02
HOUSING_FLOORSMIN,0.014437973971148377,0.01-0.02
INST_N_PAYMENTS,0.014437055222174021,0.01-0.02
HOUSING_LIVINGAPARTMENTS,0.014119533437916967,0.01-0.02
POS_DPD_TREND_MEAN,0.014073966124561728,0.01-0.02
DEF_30_CNT_SOCIAL_CIRCLE,0.014018013672645864,0.01-0.02
PREV_DAYS_DECISION_MAX,0.013892866912069618,0.01-0.02
AMT_REQ_CREDIT_BUREAU_MON,0.01366496842100254,0.01-0.02
CREDIT_INCOME_RATIO,0.01265728706067792,0.01-0.02
HOUSING_COMMONAREA,0.012625607392781265,0.01-0.02
INST_AMT_PAYMENT_SUM_60D,0.012466914656288693,0.01-0.02
INST_AMT_PAYMENT_SUM_30D,0.012446837668892187,0.01-0.02
AMT_INCOME_TOTAL,0.011868191071630174,0.01-0.02
EXT_SOURCE_NAN_COUNT,0.010887008337496985,0.01-0.02
BUREAU_DEBT_SUM,0.01082431053592087,0.01-0.02
PREV_APP_COUNT,0.010450304145859506,0.01-0.02
FLAG_WORK_PHONE,0.010328573498781508,0.01-0.02
