,inf_count,inf_rate
SK_ID_CURR,0,0.0
TARGET,0,0.0
CNT_CHILDREN,0,0.0
AMT_INCOME_TOTAL,0,0.0
AMT_CREDIT,0,0.0
AMT_ANNUITY,0,0.0
AMT_GOODS_PRICE,0,0.0
REGION_POPULATION_RELATIVE,0,0.0
DAYS_BIRTH,0,0.0
DAYS_EMPLOYED,0,0.0
DAYS_REGISTRATION,0,0.0
DAYS_ID_PUBLISH,0,0.0
FLAG_MOBIL,0,0.0
FLAG_EMP_PHONE,0,0.0
FLAG_WORK_PHONE,0,0.0
FLAG_CONT_MOBILE,0,0.0
FLAG_PHONE,0,0.0
FLAG_EMAIL,0,0.0
CNT_FAM_MEMBERS,0,0.0
REGION_RATING_CLIENT,0,0.0
REGION_RATING_CLIENT_W_CITY,0,0.0
HOUR_APPR_PROCESS_START,0,0.0
REG_REGION_NOT_LIVE_REGION,0,0.0
REG_REGION_NOT_WORK_REGION,0,0.0
LIVE_REGION_NOT_WORK_REGION,0,0.0
REG_CITY_NOT_LIVE_CITY,0,0.0
REG_CITY_NOT_WORK_CITY,0,0.0
LIVE_CITY_NOT_WORK_CITY,0,0.0
EXT_SOURCE_2,0,0.0
EXT_SOURCE_3,0,0.0
OBS_30_CNT_SOCIAL_CIRCLE,0,0.0
DEF_30_CNT_SOCIAL_CIRCLE,0,0.0
OBS_60_CNT_SOCIAL_CIRCLE,0,0.0
DEF_60_CNT_SOCIAL_CIRCLE,0,0.0
DAYS_LAST_PHONE_CHANGE,0,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,0,0.0
AMT_REQ_CREDIT_BUREAU_MON,0,0.0
AMT_REQ_CREDIT_BUREAU_QRT,0,0.0
AMT_REQ_CREDIT_BUREAU_YEAR,0,0.0
FLAG_EMPLOY_ANOMALY,0,0.0
ORGANIZATION_TYPE_FREQ,0,0.0
AGE,0,0.0
EMPLOY_YEARS,0,0.0
EMPLOY_TO_AGE_RATIO,0,0.0
REGISTRATION_YEARS,0,0.0
ID_PUBLISH_YEARS,0,0.0
LAST_PHONE_CHANGE_YEARS,0,0.0
CREDIT_INCOME_RATIO,0,0.0
ANNUITY_INCOME_RATIO,0,0.0
CREDIT_TERM,0,0.0
GOODS_CREDIT_RATIO,0,0.0
INCOME_PER_PERSON,0,0.0
EXT_SOURCE_MEAN,0,0.0
EXT_SOURCE_STD,0,0.0
EXT_SOURCE_MIN,0,0.0
