,feature,iv,group
0,EXT_SOURCE_MEAN,0.6234096842332096,>0.50
1,EXT_SOURCE_MIN,0.4743339869904134,0.30-0.50
2,EXT_SOURCE_MAX,0.4518130430357021,0.30-0.50
3,EXT_SOURCE_3,0.3352282066873093,0.30-0.50
4,EXT_SOURCE_2,0.32069937732500237,0.30-0.50
5,EMPLOY_YEARS,0.11405379021938744,0.10-0.30
6,DAYS_EMPLOYED,0.11405379021938744,0.10-0.30
7,BUREAU_DEBT_CREDIT_RATIO,0.10393670422353175,0.10-0.30
8,EMPLOY_TO_AGE_RATIO,0.0927412299366148,0.02-0.10
9,AMT_GOODS_PRICE,0.09203682939340666,0.02-0.10
10,BUREAU_ACTIVE_RATIO,0.0908895015016034,0.02-0.10
11,AGE,0.08692848339829959,0.02-0.10
12,DAYS_BIRTH,0.08692848339829959,0.02-0.10
13,BUREAU_DAYS_CREDIT_MAX,0.08298289759476091,0.02-0.10
14,BUREAU_DAYS_CREDIT_MIN,0.07967791766054252,0.02-0.10
15,GOODS_CREDIT_RATIO,0.07606256054528113,0.02-0.10
16,PREV_CREDIT_APPLICATION_RATIO_MEAN,0.07243667209702233,0.02-0.10
17,PREV_REFUSAL_RATE,0.06986859779042852,0.02-0.10
18,PREV_APPROVAL_RATE,0.06440695360330431,0.02-0.10
19,INST_PCT_LATE,0.06362736099401496,0.02-0.10
20,AMT_CREDIT,0.05936769323366025,0.02-0.10
21,ORGANIZATION_TYPE_GROUPED,0.058195609634679166,0.02-0.10
22,NAME_INCOME_TYPE,0.05786932470655602,0.02-0.10
23,INST_PAYMENT_RATIO_MEAN,0.05419532916953983,0.02-0.10
24,PREV_REFUSED_COUNT,0.053780735576114444,0.02-0.10
25,INST_DPD_MEAN,0.05168445820065256,0.02-0.10
26,REGION_RATING_CLIENT_W_CITY,0.05120149755009072,0.02-0.10
27,NAME_EDUCATION_TYPE,0.04965360274139637,0.02-0.10
28,REGION_RATING_CLIENT,0.04831690185425046,0.02-0.10
29,LAST_PHONE_CHANGE_YEARS,0.047854682813308166,0.02-0.10
30,DAYS_LAST_PHONE_CHANGE,0.047854682813308166,0.02-0.10
31,BUREAU_DAYS_CREDIT_UPDATE_MAX,0.04780777990904064,0.02-0.10
32,PREV_DAYS_DECISION_MIN,0.04453881353158491,0.02-0.10
33,BUREAU_N_CLOSED,0.04098255467852799,0.02-0.10
34,DAYS_ID_PUBLISH,0.04025319853612208,0.02-0.10
35,ID_PUBLISH_YEARS,0.040253198536122074,0.02-0.10
36,INST_PAYMENT_RATIO_STD,0.03838203258684327,0.02-0.10
37,INST_DPD_MAX,0.038169500825389266,0.02-0.10
38,EXT_SOURCE_STD,0.0373415831426813,0.02-0.10
39,REGION_POPULATION_RELATIVE,0.03564908843629902,0.02-0.10
40,INST_DPD_SUM,0.03522294511014147,0.02-0.10
41,ORGANIZATION_TYPE_FREQ,0.0349296046440403,0.02-0.10
42,FLAG_EMPLOY_ANOMALY,0.03291576646243117,0.02-0.10
43,FLAG_EMP_PHONE,0.032907128220936985,0.02-0.10
44,INST_PCT_LATE_EARLY,0.03250053611587776,0.02-0.10
45,POS_PAID_LAST_2M_SUM,0.032367092469191415,0.02-0.10
46,POS_PAID_LAST_3M_SUM,0.03234482277847197,0.02-0.10
47,REG_CITY_NOT_WORK_CITY,0.03220724394929676,0.02-0.10
48,HOUSING_TOTALAREA,0.031676005913424454,0.02-0.10
49,HOUSING_QUALITY_SCORE,0.03137686486690726,0.02-0.10
50,AMT_ANNUITY,0.031179322585245146,0.02-0.10
51,POS_PAID_LAST_1M_SUM,0.030094483978131727,0.02-0.10
52,POS_PAID_LAST_2M_MEAN,0.029853294493340825,0.02-0.10
53,HOUSING_YEARS_BEGINEXPLUATATION,0.02921610593565859,0.02-0.10
54,CREDIT_TERM,0.028996458367239325,0.02-0.10
55,REGISTRATION_YEARS,0.028486966521123765,0.02-0.10
56,DAYS_REGISTRATION,0.028486966521123765,0.02-0.10
57,HOUSING_FLOORSMAX,0.02837284753256877,0.02-0.10
58,INST_N_PAYMENTS_90D,0.02808200763116429,0.02-0.10
59,POS_PAID_LAST_3M_MEAN,0.027382522508463257,0.02-0.10
60,POS_PAID_LAST_1M_MEAN,0.027210678092136356,0.02-0.10
61,HOUSING_APARTMENTS,0.02691746466470507,0.02-0.10
62,HOUSING_ELEVATORS,0.02685813855708551,0.02-0.10
63,INST_N_PAYMENTS_180D,0.026105231762012647,0.02-0.10
64,HOUSING_LIVINGAREA,0.02585335596923658,0.02-0.10
65,BUREAU_CREDIT_SUM_MEAN,0.02569839111859311,0.02-0.10
66,PREV_CNT_PAYMENT_MEAN,0.025618164255841205,0.02-0.10
67,BUREAU_N_ACTIVE,0.025489579134523616,0.02-0.10
68,INST_N_PAYMENTS_60D,0.023993387475291575,0.02-0.10
69,HOUSING_INFO_COMPLETENESS,0.023569658964856466,0.02-0.10
70,POS_N_LOANS,0.023262464437646024,0.02-0.10
71,HOUSING_TOTALAREA_WAS_MISSING,0.02287310676444821,0.02-0.10
72,HOUSING_QUALITY_SCORE_WAS_MISSING,0.02277704602329449,0.02-0.10
