,missing_count,missing_rate
CC_DRAWINGS_PAYMENT_DPD_CORR_MEAN,298365,0.9702579745114809
CC_UTIL_DPD_CORR_MEAN,289701,0.9420833726273207
POS_PAID_DPD_CORR_MEAN,270904,0.8809571039735163
CC_PAYMENT_TOTAL_TO_MIN_RATIO_MEAN,248232,0.8072296600772005
CC_DRAWINGS_PAYMENT_RATIO_MEAN,246824,0.8026509620794053
CC_UTIL_DIFF6_MEAN,232661,0.7565940730575491
CC_BALANCE_DIFF6_MEAN,230317,0.7489715815044015
CC_UTIL_DIFF3_MEAN,225020,0.731746181437412
CC_UTIL_DIFF2_MEAN,223367,0.7263707639726709
CC_BALANCE_DIFF3_MEAN,223307,0.7261756490011739
BUREAU_STATUS_DIFF6_MEAN,223228,0.7259187476220362
CC_UTIL_TREND_MEAN,222130,0.722348143643642
CC_UTIL_DIFF1_MEAN,222130,0.722348143643642
CC_BALANCE_DIFF2_MEAN,222065,0.722136769091187
CC_UTIL_MEAN,221475,0.7202181385381335
CC_UTIL_MAX,221475,0.7202181385381335
CC_BALANCE_DIFF1_MEAN,221238,0.7194474344007207
CC_DPD_MAX,220606,0.7173922233676193
CC_UNDERPAID_MIN_RATE_MEAN,220606,0.7173922233676193
BUREAU_STATUS_DIFF3_MEAN,219734,0.7145565524485303
BUREAU_PCT_LATE_1M_MEAN,219214,0.71286555602889
BUREAU_PCT_LATE_2M_MEAN,219000,0.7121696459638842
BUREAU_PCT_LATE_3M_MEAN,218811,0.7115550338036688
BUREAU_STATUS_DIFF2_MEAN,218723,0.7112688651788066
BUREAU_PCT_LATE_6M_MEAN,218265,0.7097794875630465
BUREAU_STATUS_DIFF1_MEAN,218014,0.708963256598951
BUREAU_LATE_TREND_MAX,215511,0.7008237103713363
BUREAU_LATE_TREND_MEAN,215511,0.7008237103713363
BUREAU_PCT_LATE_MEAN,215280,0.700072517731073
FONDKAPREMONT_MODE,210295,0.6838617155158677
OWN_CAR_AGE,202929,0.6599081008484249
EXT_SOURCE_PROD,197922,0.643625756477004
INST_PAYMENT_RATIO_MEAN_30D,180680,0.5875562175011626
INST_DPD_MEAN_30D,180679,0.5875529655849709
INST_PAYMENT_SHARE_30D_MEAN,180458,0.5868342921066239
INST_PCT_LATE_30D,180433,0.5867529942018335
EXT_SOURCE_1,173378,0.5638107254699832
INST_DPD_MEAN_60D,156603,0.5092598313556264
INST_PAYMENT_RATIO_MEAN_60D,156603,0.5092598313556264
INST_PAYMENT_SHARE_60D_MEAN,156539,0.5090517087193629
INST_PCT_LATE_60D,156511,0.5089606550659976
WALLSMATERIAL_MODE,156341,0.508407829313423
HOUSETYPE_MODE,154297,0.50176091261776
INST_DPD_MEAN_90D,147629,0.48007713545206515
INST_PAYMENT_RATIO_MEAN_90D,147629,0.48007713545206515
INST_PAYMENT_SHARE_90D_MEAN,147595,0.4799665703015502
INST_PCT_LATE_90D,147567,0.47987551664818495
EMERGENCYSTATE_MODE,145755,0.47398304450897694
INST_PAYMENT_RATIO_MEAN_180D,125303,0.4074748545580483
INST_DPD_MEAN_180D,125303,0.4074748545580483
INST_PAYMENT_SHARE_180D_MEAN,125287,0.4074228238989825
INST_PCT_LATE_180D,125257,0.407325266413234
INST_LATE_TREND,115512,0.37563534312593694
OCCUPATION_TYPE,96391,0.31345545362604915
INST_PAYMENT_RATIO_MEAN_365D,90033,0.2927797704797552
INST_DPD_MEAN_365D,90033,0.2927797704797552
INST_PAYMENT_SHARE_365D_MEAN,90021,0.2927407474854558
INST_PCT_LATE_RECENT_1Y,90003,0.2926822129940067
INST_PCT_LATE_365D,90003,0.2926822129940067
EXT_SOURCE_3,60965,0.19825307062186392
EMPLOY_TO_AGE_RATIO,55374,0.18007160719453938
DAYS_EMPLOYED,55374,0.18007160719453938
EMPLOY_YEARS,55374,0.18007160719453938
BUREAU_DEBT_CREDIT_RATIO,45103,0.14667117599045237
BUREAU_CREDIT_SUM_MEAN,44021,0.14315260267112395
BUREAU_DAYS_CREDIT_MAX,44020,0.14314935075493235
BUREAU_DAYS_CREDIT_MIN,44020,0.14314935075493235
BUREAU_HAS_BAD_DEBT,44020,0.14314935075493235
BUREAU_DAYS_CREDIT_UPDATE_MAX,44020,0.14314935075493235
BUREAU_ACTIVE_RATIO,44020,0.14314935075493235
POS_PAID_LAST_6M_MEAN,42600,0.13853162976283775
POS_DPD_DIFF6_MEAN,41967,0.13647316681354488
AMT_REQ_CREDIT_BUREAU_MON,41519,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_WEEK,41519,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_HOUR,41519,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_DAY,41519,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_YEAR,41519,0.13501630835970097
AMT_REQ_CREDIT_BUREAU_QRT,41519,0.13501630835970097
INST_PCT_LATE_EARLY,41377,0.1345545362604915
EXT_SOURCE_STD,36909,0.12002497471635161
POS_PAID_LAST_3M_MEAN,20305,0.06603015827076104
POS_DPD_DIFF3_MEAN,20209,0.06571797431636592
POS_PAID_LAST_2M_MEAN,19231,0.06253760028096556
POS_DPD_DIFF2_MEAN,19168,0.06233272956089376
