,feature,vif
0,BUREAU_N_CLOSED,10.6194350513795
1,HOUSING_INFO_COMPLETENESS,5.839366990341397
2,BUREAU_CREDIT_SUM_SUM,5.792676356407809
3,BUREAU_N_LOANS,5.741244622255766
4,HOUSING_YEARS_BUILD_WAS_MISSING,5.661066868133712
5,BUREAU_ACTIVE_RATIO,5.087098741469092
6,EXT_SOURCE_MEAN,5.003347451932631
7,BUREAU_DEBT_SUM,4.297294700628674
8,ORGANIZATION_TYPE_FREQ,4.2955323101088405
9,HOUSING_TOTALAREA,3.8728091626453027
10,POS_N_LOANS,3.735312781606481
11,HOUSING_LIVINGAPARTMENTS,3.648372594492769
12,HOUSING_YEARS_BUILD,3.4843031374992064
13,HOUSING_YEARS_BEGINEXPLUATATION,3.3544520345187956
14,INST_N_PAYMENTS_90D,3.3129355128911726
15,EXT_SOURCE_2,3.2644639273756852
16,AMT_CREDIT,3.2564501547107745
17,POS_PAID_LAST_2M_SUM,3.1602052514200336
18,HOUSING_BASEMENTAREA,3.1291893044726105
19,HOUSING_COMMONAREA,2.9957948226967828
20,POS_DPD_MEAN,2.9619206345714644
21,AMT_GOODS_PRICE,2.918825247328737
22,POS_PAID_LAST_1M_SUM,2.9071282887135146
23,POS_PAID_LAST_2M_MEAN,2.8714587058031125
24,HOUSING_FLOORSMAX,2.8638580250199515
25,BUREAU_DEBT_CREDIT_RATIO,2.8457811375607345
26,ORGANIZATION_TYPE_GROUPED,2.785047585072511
27,EXT_SOURCE_3,2.642210138168292
28,POS_DPD_TREND_MEAN,2.6306290479388412
29,NAME_INCOME_TYPE,2.5948834681392983
30,BUREAU_N_ACTIVE,2.564389892822057
31,INST_PCT_LATE,2.5562364048954342
32,INST_AMT_PAYMENT_SUM_60D,2.5010941322054743
33,PREV_APP_COUNT,2.4341294903149873
34,HOUSING_ENTRANCES,2.423608638168418
35,HOUSING_FLOORSMIN,2.412571502399249
36,PREV_APPROVAL_RATE,2.3885847132911002
37,INST_N_PAYMENTS_30D,2.3879149571917866
38,INST_PAYMENT_RATIO_MEAN,2.3716192838594243
39,INST_AMT_PAYMENT_SUM_30D,2.371334115571151
40,AGE,2.328701873695022
41,HOUSING_LANDAREA,2.280159012258386
42,PREV_DAYS_DECISION_MIN,2.237453004411583
43,INST_N_PAYMENTS_365D,2.2087114125922604
44,POS_PAID_LAST_6M_SUM,2.1016120725534972
45,REGION_RATING_CLIENT_W_CITY,2.068427691394366
46,REGION_POPULATION_RELATIVE,2.0150925893618385
47,BUREAU_CREDIT_SUM_MEAN,1.9944889562194887
48,INST_N_PAYMENTS,1.9797593904180715
49,POS_PAID_LAST_6M_MEAN,1.9758200208922252
50,BUREAU_DAYS_CREDIT_MIN,1.9604039308903574
51,PREV_REFUSAL_RATE,1.8060520788913546
52,BUREAU_DAYS_CREDIT_UPDATE_MAX,1.8056057775531953
53,POS_PAID_LAST_1M_MEAN,1.7188037303872168
54,AMT_REQ_CREDIT_BUREAU_YEAR,1.6435636719420694
55,EXT_SOURCE_NAN_COUNT,1.6181872895305371
56,NAME_HOUSING_TYPE,1.605160575722
57,CC_DRAWINGS_ATM_SUM,1.5416756791471977
58,BUREAU_DAYS_CREDIT_MAX,1.538871388427069
59,PREV_DAYS_DECISION_MAX,1.4951759921325942
60,AMT_REQ_CREDIT_BUREAU_MON,1.4877681049006948
61,PREV_CNT_PAYMENT_MEAN,1.4641143849867473
62,REG_CITY_NOT_WORK_CITY,1.428116646092608
63,LAST_PHONE_CHANGE_YEARS,1.406073023274159
64,POS_INSTALMENT_FUTURE_TREND_MEAN,1.3944073307933549
65,PREV_AMT_APPLICATION_MEAN,1.3727104473258611
66,AMT_ANNUITY,1.357478736388563
67,AMT_INCOME_TOTAL,1.2894365723369008
68,REG_CITY_NOT_LIVE_CITY,1.2852092478400332
69,GOODS_CREDIT_RATIO,1.2834321474620272
70,NAME_CONTRACT_TYPE,1.2610357676034232
71,PREV_CREDIT_APPLICATION_RATIO_MEAN,1.236495829449042
72,INST_DAYS_ENTRY_PAYMENT_MAX,1.2358715508953722
73,CREDIT_INCOME_RATIO,1.222793205525422
74,EMPLOY_YEARS,1.1913049731365828
75,REGISTRATION_YEARS,1.1879040693404246
76,NAME_EDUCATION_TYPE,1.166801471510242
77,CREDIT_TERM,1.1637456435953693
78,DAYS_ID_PUBLISH,1.1633893166225442
79,FLAG_WORK_PHONE,1.1161571871187632
80,EXT_SOURCE_STD,1.1031713578580729
81,NAME_FAMILY_STATUS,1.0928844262675477
82,AMT_REQ_CREDIT_BUREAU_QRT,1.0723344364251453
83,DEF_30_CNT_SOCIAL_CIRCLE,1.0066573034640316
